club,squad_size,avg_age,num_foreigners,market_value,av_market_value
Manchester City,44,24.7,36,621.40e6,14.12e6
Chelsea,49,23.8,41,603.30e6,12.31e6
Manchester United,42,23.5,24,533.25e6,12.70e6
Arsenal,42,23.7,26,522.75e6,12.45e6
Liverpool,38,23.4,23,394.15e6,10.37e6
Tottenham Hotspur,38,22.7,20,385.50e6,10.14e6
Everton,39,24.9,22,284.35e6,7.29e6
West Ham United,44,23.7,27,240.78e6,5.47e6
Crystal Palace,45,25.1,25,215.70e6,4.79e6
Southampton,36,24.4,19,214.25e6,5.95e6
Stoke City,34,26.1,27,193.25e6,5.68e6
Watford,46,25.8,36,189.35e6,4.12e6
Leicester City,31,25.6,21,175.00e6,5.65e6
Swansea City,37,25.9,34,137.10e6,3.71e6
Hull City,42,25.0,22,132.95e6,3.17e6
Middlesbrough,35,26.3,21,121.75e6,3.48e6
West Bromwich Albion,30,26.3,17,115.10e6,3.84e6
Sunderland,42,24.3,27,112.50e6,2.68e6
AFC Bournemouth,41,23.4,16,103.50e6,2.52e6
Burnley,36,25.7,14,81.80e6,2.27e6